candid cc code,candid cc type,candid cc name,block group,longitude,latitude,neighborhoodId,demand
ccc120950005,school,primrose school,120950170152,-81.45129,28.35398,"('12095', ""hunter's creek"")",21.526062016283593
ccc120950022,school,eastlake elementary school,120950165143,-81.17007,28.59532,"('12095', 'east orange county')",10.868673006327445
ccc120950041,church,church of god,120950166042,-81.00717,28.53688,"('12095', 'east orange county')",0.0
ccc120950044,school,stoneybrook academy,120950171171,-81.61873,28.51794,"('12095', 'johns lake')",5.600969053872479
ccc120950045,school,foundation academy,120950171131,-81.61717,28.50734,"('12095', 'horizon west')",4.761550918879212
ccc120950046,school,independence elementary school,120950171132,-81.60633,28.46641,"('12095', 'horizon west')",18.216165432587577
ccc120950047,school,bridgewater middle school,120950171131,-81.61161,28.48124,"('12095', 'horizon west')",6.55960076300198
ccc120950048,school,lake whitney elementary school,120950171202,-81.55798,28.526,"('12095', 'lake butler')",6.020473180894104
ccc120950049,school,windermere elementary school,120950171151,-81.54371,28.50777,"('12095', 'lake butler')",12.53252195805861
ccc120950050,school,thronebrooke elementary school,120950148141,-81.53476,28.52501,"('12095', 'lake butler')",2.941919985797976
ccc120950051,school,premiere academy,120950148042,-81.51521,28.52773,"('12095', 'west orlando')",2.657067992973793
ccc120950052,school,hope charter school,120950174012,-81.56016,28.59218,"('12095', 'lake apopka')",4.57329980662785
ccc120950053,school,tildenville elementary school,120950173011,-81.60834,28.55741,"('12095', 'lake apopka')",20.90133341490108
ccc120950054,school,victory christian academy,120950150033,-81.52358,28.58483,"('12095', 'west orlando')",0.0
ccc120950055,school,radiant life academy,120950151052,-81.49528,28.61264,"('12095', 'clarcona')",6.015326955049778
ccc120950056,school,lake gem elementary school,120950123032,-81.48849,28.60267,"('12095', 'hiawassee')",7.310248453834127
ccc120950057,church,citrus church-horizon west,120950171134,-81.62386,28.4725,"('12095', 'horizon west')",0.048634082554393235
ccc120950058,church,first baptist church windermere-lakeside campus,120950171103,-81.5517,28.44424,"('12095', 'disney')",14.510363549229139
ccc120950059,church,salem lutheran church,120950171092,-81.49989,28.45138,"('12095', 'bay hill')",12.996584700375573
ccc120950060,church,christ community church,120950148102,-81.50833,28.47864,"('12095', 'lake tibet')",4.708878883301186
ccc120950061,church,crown of glory lutheran church,120950148152,-81.50845,28.51136,"('12095', 'lake tibet')",7.749810592338961
ccc120950062,church,mosaic church,120950172002,-81.63662,28.55447,"('12095', 'lake apopka')",23.552860325939633
ccc120950063,church,anointed ground church,120950172001,-81.62376,28.55469,"('12095', 'lake apopka')",35.904518156765675
ccc120950064,church,west orlando baptist church,120950150011,-81.5609,28.5822,"('12095', 'west orlando')",5.38529873087035
ccc120950065,school,starchild academy,120950178051,-81.46777,28.70778,"('12095', 'alaqua')",0.0
ccc120950066,school,clay springs elementary school,120950178081,-81.4679,28.68924,"('12095', 'apopka')",39.83381297627091
ccc120950067,school,wolf lake elementary school,120950178131,-81.54305,28.72809,"('12095', 'apopka')",1.38516
ccc120950068,school,rock springs elementary school,120950178091,-81.50908,28.71992,"('12095', 'apopka')",0.0
ccc120950069,school,springs community christian academy,120950178091,-81.50979,28.7192,"('12095', 'apopka')",0.0
ccc120950072,church,wekiwa springs baptist church,120950178062,-81.46793,28.69099,"('12095', 'apopka')",37.45223352085796
ccc120950073,church,first covenant church,120950157021,-81.33053,28.62498,"('12095', 'maitland')",22.27246
ccc120950089,school,innovation middle school,120950167372,-81.21027,28.42364,"('12095', 'east orange county')",13.067255243713133
ccc120950090,school,einstein academy,120950167351,-81.25696,28.43525,"('12095', 'lake nona')",7.208035368366308
ccc120950091,school,stone lakes elementary school,120950167494,-81.16272,28.51159,"('12095', 'alafaya')",0.10294836696965028
ccc120950092,school,avalon middle school,120950167312,-81.15231,28.50094,"('12095', 'alafaya')",9.466914471387003
ccc120950093,school,andover elementary school,120950167531,-81.22104,28.50991,"('12095', 'alafaya')",1.2408432899799993
