grocery store code,candid x (longitude),candid y (latitude),name
egs120950001,-81.46916,28.65027,walmart
egs120950005,-81.21755,28.56649,walmart
egs120950006,-81.28762,28.47393,walmart
egs120950009,-81.47639,28.44046,walmart
egs120950010,-81.53168,28.54958,walmart
egs120950011,-81.62866,28.47454,walmart
egs120950012,-81.36464,28.36543,walmart
egs120950015,-81.46213,28.51566,walmart
egs120950018,-81.42492,28.44824,walmart
egs120950019,45.0,28.475,walmart
egs120950020,-81.31229,28.50458,walmart
egs120950021,-81.41814,28.5714,walmart
egs120950024,-81.55638,28.37147,beaches & cream soda shop
egs120950026,-81.60145,28.35127,harambe fruit market
egs120950031,-81.61386,28.34906,publix
egs120950037,-81.50383,28.37294,lake buena vista supermarket
egs120950038,-81.50257,28.36746,haji q
egs120950106,-81.3982,28.36539,sunny market trading
egs120950107,-81.43774,28.35669,gia foods
egs120950108,-81.40315,28.36194,everest market
egs120950109,-81.4245,28.36427,o mercado
egs120950111,-81.4072,28.3695,target
egs120950115,-81.42449,28.36194,publix
egs120950129,-81.36688,28.36299,publix
egs120950135,-81.21136,28.35683,lake nona farmer's market
egs120950141,-81.24649,28.36455,publix
egs120950146,-81.61872,28.5166,publix
egs120950147,-81.58103,28.43387,cast connection
egs120950148,-81.58363,28.45858,maritza m martinez de morrell
egs120950149,-81.5614,28.44759,lakeside village center
egs120950150,-81.5615,28.44678,publix
egs120950151,-81.48695,28.39271,aldi
egs120950152,-81.48562,28.39544,target
egs120950153,-81.46457,28.39489,farmers market
egs120950154,-81.50303,28.39029,orlando market
egs120950155,-81.53416,28.40364,michael d wharton flea market
egs120950156,-81.4961,28.38596,kate spade new york outlet
egs120950157,-81.46542,28.39362,iga
egs120950158,-81.50621,28.38932,zainab market
egs120950159,-81.50051,28.386,vista foods
egs120950160,-81.50657,28.37908,s&a streamers market
egs120950161,-81.50618,28.38512,five flowers supermarket
egs120950162,-81.48588,28.38709,publix
egs120950163,-81.50461,28.39247,winn-dixie
egs120950164,-81.50315,28.38303,goodings supermarket
egs120950165,-81.47751,28.45405,india spice house
egs120950166,-81.48896,28.45457,publix
egs120950167,-81.47076,28.4454,gooding's supermarkets
egs120950168,-81.4645,28.45437,eandr quality foods
egs120950169,-81.48128,28.44989,bfy management group
egs120950170,-81.49668,28.45046,trader joe's
egs120950171,-81.48654,28.45059,vines wine and spirits
egs120950172,-81.47113,28.44068,goodies supermarket
egs120950173,-81.46245,28.42372,market plaza shop
egs120950174,-81.48971,28.45354,publix
egs120950175,-81.47698,28.44936,whole foods
egs120950176,-81.48961,28.45237,chamberlin's natural foods
egs120950177,-81.48676,28.44905,publix
egs120950178,-81.58737,28.52161,world market
egs120950179,-81.54632,28.53451,april ida ribas flea market
egs120950180,-81.59228,28.48992,market launcher
egs120950181,-81.58547,28.52106,target
egs120950182,-81.58369,28.47692,publix
egs120950183,-81.53999,28.5322,publix
egs120950184,-81.49774,28.51691,turn key marketing services
egs120950185,-81.48048,28.54024,lazaro gomez flea market
egs120950186,-81.48845,28.47902,salime
egs120950187,-81.4895,28.51503,e & r quality foods
egs120950188,-81.4854,28.50707,nbi juiceworks
egs120950189,-81.53465,28.49409,windermere farmer's market
egs120950190,-81.50537,28.47386,plaza lorenzo
egs120950191,-81.49231,28.49257,fresh market
egs120950192,-81.46268,28.51748,silva's market
egs120950193,-81.507,28.49557,walmart neighborhood market
egs120950194,-81.47101,28.52712,y&w food
egs120950195,-81.50862,28.48971,publix
egs120950196,-81.46117,28.53811,holsons meat & farmers market
egs120950197,-81.45986,28.53795,r&r indian grocery
egs120950198,-81.47014,28.52515,winn-dixie
egs120950199,-81.46004,28.51048,brazil food mart
egs120950200,-81.48369,28.51531,publix
egs120950201,-81.46088,28.49514,publix
egs120950202,-81.5835,28.55503,choice meats
egs120950203,-81.54501,28.55168,ramko west indian store
egs120950204,-81.54277,28.55759,mi ranchito meat market
egs120950205,-81.57582,28.57498,tropic save supermarket 2
egs120950206,-81.5836,28.56533,ready-reddi
egs120950207,-81.60337,28.56912,terrence w burke flea market
egs120950208,-81.58993,28.55112,angel food ministries
egs120950209,-81.5444,28.62181,rightway foods
egs120950210,-81.55043,28.57365,mi pueblito tinda mexicana
egs120950211,-81.54459,28.57383,a plus supermarket
egs120950212,-81.58354,28.55896,suns market
egs120950213,-81.59456,28.55832,bradley's market
egs120950214,-81.58441,28.55738,bravo supermarkets
egs120950215,-81.56737,28.55105,conoley citrus packers
egs120950216,-81.59094,28.56459,local butcher and market winter garden
egs120950217,-81.54537,28.57315,quadro supermarket
egs120950218,-81.58471,28.5565,tex west indian store
egs120950219,-81.59211,28.5521,aldi
egs120950220,-81.56523,28.56587,community grocery
egs120950221,-81.58052,28.55118,save-a-lot
egs120950222,-81.58384,28.56519,tn food grocery
egs120950223,-81.54959,28.60424,publix
egs120950224,-81.58922,28.54932,publix
egs120950225,-81.58419,28.5565,tortilleria la mexicana
egs120950226,-81.46477,28.55205,los paises supermarket
egs120950227,-81.46881,28.55226,colonial grocery deli & bodega
egs120950228,-81.46731,28.55226,colonial farmer's market
egs120950229,-81.47872,28.55194,fancy fruit and produce
egs120950230,-81.50622,28.55199,model home market
egs120950231,-81.47596,28.57947,r & r of orlando food
egs120950232,-81.47613,28.57988,h & m caribbean food
egs120950233,-81.47596,28.58093,prestige caribbean food
egs120950234,-81.534,28.59993,de neef village store
egs120950235,-81.52535,28.57365,auntie b's produce
egs120950236,-81.52335,28.54663,park ridge grocery
egs120950237,-81.49107,28.55028,walmart neighborhood market
egs120950238,-81.50849,28.55091,aldi
egs120950239,-81.46659,28.57853,save-a-lot
egs120950240,-81.46848,28.55321,save-a-lot
egs120950241,-81.51623,28.57488,publix
egs120950242,-81.47433,28.57925,bravo supermarket
egs120950243,-81.50614,28.55303,publix
egs120950244,-81.50944,28.68732,maters & taters produce
egs120950245,-81.50923,28.70502,albertsons
egs120950246,-81.51455,28.70178,mary ann larusso flea market
egs120950247,-81.51099,28.66699,sonny's produce
egs120950248,-81.48518,28.67287,fiesta mexi
egs120950249,-81.51325,28.67388,shoppes of apopka
egs120950250,-81.5093,28.66166,francois food market
egs120950251,-81.51011,28.67309,san miguel supermarket
egs120950252,-81.53059,28.68434,1023 food
egs120950253,-81.55337,28.68854,coca-cola foods
egs120950254,-81.50743,28.67843,fresh market
egs120950255,-81.46237,28.64132,harvest valley ii
egs120950256,-81.46806,28.65229,apopka market place
egs120950257,-81.46601,28.65265,sunbelt natural foods
egs120950258,-81.47939,28.67228,aldi
egs120950259,-81.47601,28.67261,los girasoles supermarket and restaurant
egs120950260,-81.54718,28.69028,la parada mexicana deli mart
egs120950261,-81.51144,28.65749,ray's grocery
egs120950262,-81.48517,28.67266,rja foodmart
egs120950263,-81.50918,28.6673,la taxqvena
egs120950264,-81.49416,28.67421,save-a-lot
egs120950265,-81.46531,28.67377,compare supermarket
egs120950266,-81.49412,28.67188,bravo supermarket
egs120950267,-81.51149,28.67245,ace meat and grocery
egs120950268,-81.50319,28.67375,mi mexico
egs120950269,-81.51149,28.66632,central grocery
egs120950270,-81.55735,28.69093,xochitl grocery store
egs120950271,-81.53728,28.68806,winn-dixie
egs120950272,-81.508,28.70736,publix
egs120950273,-81.62416,28.77408,mt dora food mart
egs120950274,-81.62296,28.77978,publix
egs120950275,-81.60585,28.73077,ziggy's food shack
egs120950276,-81.60968,28.74469,finer gourmet foods
egs120950277,-81.50872,28.7138,trader maes furniture and decor market
egs120950278,-81.45508,28.40597,king garib
egs120950279,-81.40471,28.39873,iga
egs120950280,-81.39628,28.40673,roma food group
egs120950281,-81.42541,28.3808,produce market & halal meat
egs120950282,-81.42541,28.3808,all natural food
egs120950283,-81.40401,28.40175,bangla bazaar international foods
egs120950284,-81.40563,28.39875,jumbo meat fish and produce
egs120950285,-81.40565,28.38016,meat emporium
egs120950286,-81.40304,28.3774,sedano's
egs120950287,-81.40451,28.40314,ar grocery
egs120950288,-81.4044,28.38579,aldi
egs120950289,-81.40595,28.38249,walmart neighborhood market
egs120950290,-81.40795,28.40729,deguzman oriental food mart
egs120950291,-81.40473,28.40176,la hacienda meat market
egs120950292,-81.40591,28.39711,everest market
egs120950293,-81.40421,28.39547,bombay bazaar
egs120950294,-81.44822,28.40737,publix
egs120950295,-81.40279,28.38866,publix
